,store_code_uc,year_week,y_counterfactual,y_predict,week_sales,region
5543,5351696,201432,459358.8600627406,459358.8600627406,444355.59,not affected by soda tax
5544,5351696,201433,454653.40155273955,454653.40155273955,456343.31,not affected by soda tax
5545,5351696,201434,462033.0336727408,462033.0336727408,505295.84,not affected by soda tax
5546,5351696,201435,462190.4795027408,462190.4795027408,490572.06,not affected by soda tax
5547,5351696,201436,471033.3638927394,471033.3638927394,456682.56,not affected by soda tax
5548,5351696,201437,456432.9032027412,456432.9032027412,429342.16,not affected by soda tax
5549,5351696,201438,450248.7064327408,450248.7064327408,442767.53,not affected by soda tax
5550,5351696,201439,449023.2107727403,449023.2107727403,437854.13,not affected by soda tax
5551,5351696,201440,455069.4157827402,455069.4157827402,454998.41,not affected by soda tax
5552,5351696,201441,462400.6493627399,462400.6493627399,436571.16,not affected by soda tax
5553,5351696,201442,454967.21682274085,454967.21682274085,436605.22,not affected by soda tax
5554,5351696,201443,453418.99379273993,453418.99379273993,443634.59,not affected by soda tax
5555,5351696,201444,455113.6986427407,455113.6986427407,455282.19,not affected by soda tax
5556,5351696,201445,465090.1204427406,465090.1204427406,441201.59,not affected by soda tax
5557,5351696,201446,454972.8763127412,454972.8763127412,433818.0,not affected by soda tax
5558,5351696,201447,461476.32172273984,461476.32172273984,453111.19,not affected by soda tax
5559,5351696,201448,492912.8252527403,492912.8252527403,469397.16,not affected by soda tax
5560,5351696,201449,473722.9110827397,473722.9110827397,474531.97,not affected by soda tax
5561,5351696,201450,475663.6439427413,475663.6439427413,493761.41,not affected by soda tax
5562,5351696,201451,486713.82789274014,486713.82789274014,574940.0,not affected by soda tax
5563,5351696,201452,503245.33026274026,503245.33026274026,567109.44,not affected by soda tax
5564,5351696,201501,469507.40076273994,469507.40076273994,497368.81,not affected by soda tax
5565,5351696,201502,475993.5352227399,475993.5352227399,483896.03,not affected by soda tax
5566,5351696,201503,456067.9071727401,456067.9071727401,462363.78,not affected by soda tax
5567,5351696,201504,452601.284262741,452601.284262741,443438.44,not affected by soda tax
5568,5351696,201505,452548.54940273997,452548.54940273997,463975.91,not affected by soda tax
5569,5351696,201506,464788.93108273984,464788.93108273984,438275.19,not affected by soda tax
5570,5351696,201507,459953.36503274017,459953.36503274017,493025.41,not affected by soda tax
5571,5351696,201508,451250.20786274015,451250.20786274015,440085.41,not affected by soda tax
5572,5351696,201509,449312.82291274006,449312.82291274006,460683.91,not affected by soda tax
5573,5351696,201510,439606.3246956457,458233.94463750767,437477.31,not affected by soda tax
5574,5351696,201511,438592.967665646,457220.5876075078,444396.03,not affected by soda tax
5575,5351696,201512,437456.25744564564,456083.87738750747,452597.28,not affected by soda tax
5576,5351696,201513,432804.35121564614,451431.971157508,452956.75,not affected by soda tax
5577,5351696,201514,451632.28268564586,470259.9026275077,503430.03,not affected by soda tax
5578,5351696,201515,438130.5608156455,456758.18075750733,380696.56,not affected by soda tax
5579,5351696,201516,434008.86576564587,452636.4857075078,432886.44,not affected by soda tax
5580,5351696,201517,434972.1419756453,453599.76191750716,441354.13,not affected by soda tax
5581,5351696,201518,437115.97369564546,455743.5936375073,433388.78,not affected by soda tax
5582,5351696,201519,444468.9431856455,463096.56312750734,462925.53,not affected by soda tax
5583,5351696,201520,433609.4179956458,452237.03793750773,422904.66,not affected by soda tax
5584,5351696,201521,430897.29002564563,449524.90996750747,436210.5,not affected by soda tax
5585,5351696,201522,434989.8442756458,453617.46421750763,422525.59,not affected by soda tax
5586,5351696,201523,437364.24050564645,455991.8604475083,439992.09,not affected by soda tax
5587,5351696,201524,444789.94100564567,463417.5609475075,443558.34,not affected by soda tax
5588,5351696,201525,438292.7503656456,456920.37030750746,448019.63,not affected by soda tax
5589,5351696,201526,431350.3992856457,449978.0192275075,425614.03,not affected by soda tax
5590,5351696,201527,442408.00749564567,461035.6274375075,441650.25,not affected by soda tax
5591,5351696,201528,449925.94162564573,468553.56156750757,454336.38,not affected by soda tax
5592,5351696,201529,433549.76758564566,452177.3875275076,440080.44,not affected by soda tax
5593,5351696,201530,433730.6672456458,452358.2871875076,438741.75,not affected by soda tax
5594,5351696,201531,435535.58676564624,454163.20670750807,456820.22,not affected by soda tax
5595,5351696,201532,443145.9992756457,461773.61921750754,475720.88,not affected by soda tax
5596,5351696,201533,443541.77617564576,462169.3961175076,483376.16,not affected by soda tax
5597,5351696,201534,450181.28835564596,468808.9082975078,518733.09,not affected by soda tax
5598,5351696,201535,451801.91256564565,470429.5325075075,533166.94,not affected by soda tax
5599,5351696,201536,450137.4807656456,468765.10070750746,488392.25,not affected by soda tax
5600,5351696,201537,458863.8699356454,477491.4898775072,472926.41,not affected by soda tax
5601,5351696,201538,439426.03936564573,458053.65930750757,472335.13,not affected by soda tax
5602,5351696,201539,438464.2810856458,457091.90102750773,478096.0,not affected by soda tax
5603,5351696,201540,438386.86874564586,457014.4886875077,477197.78,not affected by soda tax
5604,5351696,201541,445460.09925564576,464087.7191975076,461346.03,not affected by soda tax
5605,5351696,201542,439840.24602564564,458467.8659675075,472240.38,not affected by soda tax
5606,5351696,201543,439978.12727564573,458605.74721750757,498174.03,not affected by soda tax
5607,5351696,201544,449346.1091856455,467973.7291275074,498028.41,not affected by soda tax
5608,5351696,201545,449123.01006564556,467750.6300075074,489553.66,not affected by soda tax
5609,5351696,201546,444608.2807856457,463235.90072750754,498213.94,not affected by soda tax
5610,5351696,201547,447475.06312564574,466102.6830675076,495883.03,not affected by soda tax
5611,5351696,201548,477888.31371564604,496515.933657508,510029.94,not affected by soda tax
5612,5351696,201549,461640.7693656458,480268.38930750766,551700.56,not affected by soda tax
5613,5351696,201550,456711.4667556457,475339.08669750753,547010.38,not affected by soda tax
5614,5351696,201551,467221.52253564587,485849.1424775078,619859.5,not affected by soda tax
5615,5351696,201552,483853.2286456458,502480.8485875076,628921.0,not affected by soda tax
5616,5400635,201401,910696.5472196639,910696.5472196639,907740.81,not affected by soda tax
5617,5400635,201402,912963.8588396714,912963.8588396714,878136.81,not affected by soda tax
5618,5400635,201403,903423.5519096528,903423.5519096528,844248.75,not affected by soda tax
5619,5400635,201404,902039.6275796632,902039.6275796632,888789.13,not affected by soda tax
5620,5400635,201405,899358.4188596631,899358.4188596631,847131.88,not affected by soda tax
5621,5400635,201406,915584.9240096629,915584.9240096629,895939.31,not affected by soda tax
5622,5400635,201407,912506.2064296637,912506.2064296637,894798.31,not affected by soda tax
5623,5400635,201408,900563.5925896631,900563.5925896631,827206.31,not affected by soda tax
5624,5400635,201409,899551.5921496636,899551.5921496636,843771.94,not affected by soda tax
5625,5400635,201410,911428.3395196636,911428.3395196636,858286.88,not affected by soda tax
5626,5400635,201411,905920.4281296643,905920.4281296643,827582.19,not affected by soda tax
5627,5400635,201412,905093.3286296632,905093.3286296632,853839.63,not affected by soda tax
5628,5400635,201413,896793.4640996639,896793.4640996639,846447.63,not affected by soda tax
5629,5400635,201414,906144.7980596644,906144.7980596644,881553.19,not affected by soda tax
5630,5400635,201415,910844.5402296636,910844.5402296636,843178.94,not affected by soda tax
5631,5400635,201416,918927.1526496626,918927.1526496626,919069.0,not affected by soda tax
5632,5400635,201417,896378.3322696642,896378.3322696642,711389.88,not affected by soda tax
5633,5400635,201418,903869.2892396641,903869.2892396641,886984.0,not affected by soda tax
5634,5400635,201419,911781.8049096637,911781.8049096637,853927.81,not affected by soda tax
5635,5400635,201420,910025.0419696632,910025.0419696632,873113.38,not affected by soda tax
5636,5400635,201421,902851.3899096638,902851.3899096638,863247.94,not affected by soda tax
5637,5400635,201422,911072.694289664,911072.694289664,859152.25,not affected by soda tax
5638,5400635,201423,911470.1826396638,911470.1826396638,911710.0,not affected by soda tax
5639,5400635,201424,914916.8105196641,914916.8105196641,914937.06,not affected by soda tax
5640,5400635,201425,905596.4470996637,905596.4470996637,913475.0,not affected by soda tax
5641,5400635,201426,898265.9529796633,898265.9529796633,873400.81,not affected by soda tax
5642,5400635,201427,912230.0020296638,912230.0020296638,937080.81,not affected by soda tax
5643,5400635,201428,920500.4581896631,920500.4581896631,925366.06,not affected by soda tax
5644,5400635,201429,902301.5683696632,902301.5683696632,893098.5,not affected by soda tax
5645,5400635,201430,901790.6726796633,901790.6726796633,901853.25,not affected by soda tax
5646,5400635,201431,906223.7206796639,906223.7206796639,941221.25,not affected by soda tax
5647,5400635,201432,915008.2018896638,915008.2018896638,952201.44,not affected by soda tax
5648,5400635,201433,910302.7433796627,910302.7433796627,1009549.4,not affected by soda tax
5649,5400635,201434,917682.375499664,917682.375499664,1218783.0,not affected by soda tax
5650,5400635,201435,917839.821329664,917839.821329664,1146140.5,not affected by soda tax
5651,5400635,201436,926682.7057196626,926682.7057196626,1014583.5,not affected by soda tax
5652,5400635,201437,912082.2450296644,912082.2450296644,923963.0,not affected by soda tax
5653,5400635,201438,905898.0482596641,905898.0482596641,920617.19,not affected by soda tax
5654,5400635,201439,904672.5525996635,904672.5525996635,897471.5,not affected by soda tax
5655,5400635,201440,910718.7576096634,910718.7576096634,944509.25,not affected by soda tax
5656,5400635,201441,918049.9911896631,918049.9911896631,928521.0,not affected by soda tax
5657,5400635,201442,910616.558649664,910616.558649664,930362.56,not affected by soda tax
5658,5400635,201443,909068.3356196632,909068.3356196632,930617.44,not affected by soda tax
5659,5400635,201444,910763.0404696639,910763.0404696639,995656.56,not affected by soda tax
5660,5400635,201445,920739.4622696639,920739.4622696639,901302.63,not affected by soda tax
5661,5400635,201446,910622.2181396644,910622.2181396644,915250.38,not affected by soda tax
5662,5400635,201447,917125.663549663,917125.663549663,926459.38,not affected by soda tax
5663,5400635,201448,948562.1670796636,948562.1670796636,848942.88,not affected by soda tax
5664,5400635,201449,929372.2529096629,929372.2529096629,981514.88,not affected by soda tax
5665,5400635,201450,931312.9857696645,931312.9857696645,1043956.4,not affected by soda tax
5666,5400635,201451,942363.1697196633,942363.1697196633,1092327.6,not affected by soda tax
5667,5400635,201452,958894.6720896635,958894.6720896635,958064.31,not affected by soda tax
5668,5400635,201501,925156.7425896631,925156.7425896631,987716.56,not affected by soda tax
5669,5400635,201502,931642.8770496631,931642.8770496631,927002.13,not affected by soda tax
5670,5400635,201503,911717.2489996634,911717.2489996634,921959.75,not affected by soda tax
5671,5400635,201504,908250.6260896643,908250.6260896643,903904.81,not affected by soda tax
5672,5400635,201505,908197.8912296632,908197.8912296632,864049.88,not affected by soda tax
5673,5400635,201506,920438.2729096632,920438.2729096632,886440.88,not affected by soda tax
5674,5400635,201507,915602.7068596635,915602.7068596635,906133.63,not affected by soda tax
